id_pedido,id_cliente,id_loja,id_funcionario,data_pedido,status,canal,valor_total,desconto,loja_nome,loja_tipo,loja_cidade,loja_estado,id_item,id_produto,quantidade,preco_venda,preco_custo,sku,produto_nome,id_categoria,categoria_nome,categoria_pai,subtotal,lucro_bruto,margem_pct,ano,mes,trimestre,dia_semana
23712,3005,1,20,2021-04-14 18:42:32,Cancelado,WhatsApp,97.0,0.0,CD Osasco,Online,Osasco,SP,71869,113,2,49.99,29.31,71011,Cabo de Rede RJ-45 10m Cat6,6,Cabos de Rede,Redes,99.98,41.36,41.37,2021,4,2,Quarta
38062,3253,6,67,2021-04-14 18:42:32,Cancelado,WhatsApp,39.86,0.0,Escritório Central,Online,São Paulo,SP,115446,120,2,19.99,11.25,72007,Cabo USB-A para USB-C 1m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,39.98,17.48,43.72,2021,4,2,Quarta
829,346,2,23,2021-04-15 18:42:32,Cancelado,Loja Física,215.32,0.0,Loja Paulista,Física,São Paulo,SP,2514,115,4,39.99,25.49,72002,Cabo HDMI 2.0 4K 3m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,159.96,58.0,36.26,2021,4,2,Quinta
829,346,2,23,2021-04-15 18:42:32,Cancelado,Loja Física,215.32,0.0,Loja Paulista,Física,São Paulo,SP,2515,112,2,28.99,15.85,71010,Cabo de Rede RJ-45 5m Cat6 Azul,6,Cabos de Rede,Redes,57.98,26.28,45.33,2021,4,2,Quinta
3382,1358,5,60,2021-04-15 18:42:32,Cancelado,Loja Física,343.11,0.0,Loja BH Centro,Física,Belo Horizonte,MG,10385,61,3,49.99,33.51,54006,Pasta Térmica Corsair TM30 High Performance 3g,22,Refrigeração,Hardware,149.97,49.44,32.97,2021,4,2,Quinta
3382,1358,5,60,2021-04-15 18:42:32,Cancelado,Loja Física,343.11,0.0,Loja BH Centro,Física,Belo Horizonte,MG,10386,102,3,57.99,37.65,70010,Bobina Papel Térmico 80mm x 40m (50 unidades),19,Papéis e Bobinas,Impressão,173.97,61.02,35.08,2021,4,2,Quinta
3382,1358,5,60,2021-04-15 18:42:32,Cancelado,Loja Física,343.11,0.0,Loja BH Centro,Física,Belo Horizonte,MG,10387,120,1,19.99,11.25,72007,Cabo USB-A para USB-C 1m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,19.99,8.74,43.72,2021,4,2,Quinta
38568,2189,2,29,2021-04-15 18:42:32,Cancelado,Loja Física,310.33,0.0,Loja Paulista,Física,São Paulo,SP,117012,115,5,39.99,25.49,72002,Cabo HDMI 2.0 4K 3m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,199.95,72.5,36.26,2021,4,2,Quinta
38568,2189,2,29,2021-04-15 18:42:32,Cancelado,Loja Física,310.33,0.0,Loja Paulista,Física,São Paulo,SP,117013,121,4,27.99,15.71,73001,Pen Drive 32GB Sandisk Cruzer Blade USB 2.0,4,Armazenamento Portátil,Armazenamento Portátil,111.96,49.12,43.87,2021,4,2,Quinta
36546,2290,1,19,2021-04-16 18:42:32,Cancelado,Televendas,2591.22,101.45,CD Osasco,Online,Osasco,SP,110956,113,29,49.99,29.31,71011,Cabo de Rede RJ-45 10m Cat6,6,Cabos de Rede,Redes,1449.71,599.72,41.37,2021,4,2,Sexta
36546,2290,1,19,2021-04-16 18:42:32,Cancelado,Televendas,2591.22,101.45,CD Osasco,Online,Osasco,SP,110957,113,28,49.99,29.31,71011,Cabo de Rede RJ-45 10m Cat6,6,Cabos de Rede,Redes,1399.72,579.04,41.37,2021,4,2,Sexta
5466,1382,3,32,2021-04-17 18:42:32,Cancelado,Loja Física,1396.03,0.0,Loja Santo André,Física,Santo André,SP,16626,73,3,19.99,11.62,60007,Mouse USB Genius Easy 2B Óptico 800DPI,16,Mouses,Periféricos,59.97,25.11,41.87,2021,4,2,Sábado
5466,1382,3,32,2021-04-17 18:42:32,Cancelado,Loja Física,1396.03,0.0,Loja Santo André,Física,Santo André,SP,16627,118,2,119.99,80.5,72005,Adaptador USB-C para RJ-45 TP-Link UE300C USB 3.0,7,Cabos e Adaptadores,Cabos e Adaptadores,239.98,78.98,32.91,2021,4,2,Sábado
5466,1382,3,32,2021-04-17 18:42:32,Cancelado,Loja Física,1396.03,0.0,Loja Santo André,Física,Santo André,SP,16628,53,1,939.99,634.25,53005,Fonte de Alimentação 850W EVGA SuperNOVA 850 G6 Gold,10,Fontes de Alimentação,Hardware,939.99,305.74,32.53,2021,4,2,Sábado
5466,1382,3,32,2021-04-17 18:42:32,Cancelado,Loja Física,1396.03,0.0,Loja Santo André,Física,Santo André,SP,16629,106,2,89.99,49.52,71004,Switch 5P Mercusys MS105G Gigabit Desktop,24,Switches,Redes,179.98,80.94,44.97,2021,4,2,Sábado
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83194,107,8,159.99,106.98,71005,Switch 8P TP-Link TL-SG108 Gigabit Desktop,24,Switches,Redes,1279.92,424.08,33.13,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83195,73,13,19.99,11.62,60007,Mouse USB Genius Easy 2B Óptico 800DPI,16,Mouses,Periféricos,259.87,108.81,41.87,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83196,61,14,49.99,33.51,54006,Pasta Térmica Corsair TM30 High Performance 3g,22,Refrigeração,Hardware,699.86,230.72,32.97,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83197,115,25,39.99,25.49,72002,Cabo HDMI 2.0 4K 3m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,999.75,362.5,36.26,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83198,113,18,49.99,29.31,71011,Cabo de Rede RJ-45 10m Cat6,6,Cabos de Rede,Redes,899.82,372.24,41.37,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83199,107,8,159.99,106.98,71005,Switch 8P TP-Link TL-SG108 Gigabit Desktop,24,Switches,Redes,1279.92,424.08,33.13,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83200,81,1,849.99,458.18,62002,"Monitor 24"" LG 24MP400-B IPS Full HD HDMI",15,Monitores,Periféricos,849.99,391.81,46.1,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83201,146,1,738.99,421.51,79001,"TV LED 32"" Samsung UN32T4202 HD Smart Wi-Fi",25,TVs e Displays,TVs e Displays,738.99,317.48,42.96,2021,4,2,Domingo
27413,133,1,16,2021-04-18 18:42:32,Cancelado,Site,7367.71,84.74,CD Osasco,Online,Osasco,SP,83202,49,4,379.99,230.48,53001,Fonte de Alimentação 450W Corsair CV450 80 Plus Bronze,10,Fontes de Alimentação,Hardware,1519.96,598.04,39.35,2021,4,2,Domingo
38703,1450,2,23,2021-04-18 18:42:32,Cancelado,Loja Física,800.33,0.0,Loja Paulista,Física,São Paulo,SP,117429,115,1,39.99,25.49,72002,Cabo HDMI 2.0 4K 3m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,39.99,14.5,36.26,2021,4,2,Domingo
38703,1450,2,23,2021-04-18 18:42:32,Cancelado,Loja Física,800.33,0.0,Loja Paulista,Física,São Paulo,SP,117430,110,1,59.99,33.27,71008,Adaptador USB Wi-Fi TP-Link Archer T2U Mini AC600,1,Adaptadores Wi-Fi,Redes,59.99,26.72,44.54,2021,4,2,Domingo
38703,1450,2,23,2021-04-18 18:42:32,Cancelado,Loja Física,800.33,0.0,Loja Paulista,Física,São Paulo,SP,117431,61,4,49.99,33.51,54006,Pasta Térmica Corsair TM30 High Performance 3g,22,Refrigeração,Hardware,199.96,65.92,32.97,2021,4,2,Domingo
38703,1450,2,23,2021-04-18 18:42:32,Cancelado,Loja Física,800.33,0.0,Loja Paulista,Física,São Paulo,SP,117432,108,1,499.99,277.08,71006,Switch 24P TP-Link TL-SG1024D Gigabit Desktop,24,Switches,Redes,499.99,222.91,44.58,2021,4,2,Domingo
33178,2356,2,26,2021-04-19 18:42:32,Cancelado,Loja Física,437.73,0.0,Loja Paulista,Física,São Paulo,SP,100745,99,2,66.99,45.1,70007,Tinta Epson T544120 Preto L3110/L3150/L5190,29,Tintas,Impressão,133.98,43.78,32.68,2021,4,2,Segunda
33178,2356,2,26,2021-04-19 18:42:32,Cancelado,Loja Física,437.73,0.0,Loja Paulista,Física,São Paulo,SP,100746,110,3,59.99,33.27,71008,Adaptador USB Wi-Fi TP-Link Archer T2U Mini AC600,1,Adaptadores Wi-Fi,Redes,179.97,80.16,44.54,2021,4,2,Segunda
33178,2356,2,26,2021-04-19 18:42:32,Cancelado,Loja Física,437.73,0.0,Loja Paulista,Física,São Paulo,SP,100747,124,3,39.99,22.21,73004,Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s,4,Armazenamento Portátil,Armazenamento Portátil,119.97,53.34,44.46,2021,4,2,Segunda
43137,2135,5,57,2021-04-19 18:42:32,Cancelado,Loja Física,2005.35,5.76,Loja BH Centro,Física,Belo Horizonte,MG,130884,75,15,27.99,17.47,61001,Teclado USB Satellite AK-910 ABNT2 Preto,27,Teclados,Periféricos,419.85,157.8,37.58,2021,4,2,Segunda
43137,2135,5,57,2021-04-19 18:42:32,Cancelado,Loja Física,2005.35,5.76,Loja BH Centro,Física,Belo Horizonte,MG,130885,106,9,89.99,49.52,71004,Switch 5P Mercusys MS105G Gigabit Desktop,24,Switches,Redes,809.91,364.23,44.97,2021,4,2,Segunda
43137,2135,5,57,2021-04-19 18:42:32,Cancelado,Loja Física,2005.35,5.76,Loja BH Centro,Física,Belo Horizonte,MG,130886,153,4,252.99,132.87,80003,Ventilador FTX Brisa 3 Vel FS-40MF de Pé 60W 220V,9,Eletrodomésticos,Eletrodomésticos,1011.96,480.48,47.48,2021,4,2,Segunda
4768,2791,4,48,2021-04-20 18:42:32,Cancelado,Loja Física,35.11,0.0,Loja Campinas,Física,Campinas,SP,14580,116,1,34.99,22.21,72003,Adaptador Conversor HDMI para VGA,7,Cabos e Adaptadores,Cabos e Adaptadores,34.99,12.78,36.52,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28161,46,4,289.99,174.89,52007,HD 1TB Seagate Barracuda 7200RPM SATA III ST1000DM010,3,Armazenamento,Hardware,1159.96,460.4,39.69,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28162,102,3,57.99,37.65,70010,Bobina Papel Térmico 80mm x 40m (50 unidades),19,Papéis e Bobinas,Impressão,173.97,61.02,35.08,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28163,9,1,573.99,321.87,256665,Placa de Vídeo 4GB GTX960 Keepdata DDR5 128Bits,20,Placas de Vídeo,Hardware,573.99,252.12,43.92,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28164,99,8,66.99,45.1,70007,Tinta Epson T544120 Preto L3110/L3150/L5190,29,Tintas,Impressão,535.92,175.12,32.68,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28165,99,3,66.99,45.1,70007,Tinta Epson T544120 Preto L3110/L3150/L5190,29,Tintas,Impressão,200.97,65.67,32.68,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28166,125,8,59.99,39.33,73005,Cartão Micro SD 64GB Kingston Neo 95MB/s C10,4,Armazenamento Portátil,Armazenamento Portátil,479.92,165.28,34.44,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28167,128,2,413.99,252.39,74002,Nobreak 700VA APC BVG700I-MSX Easy 230V,17,Nobreaks e UPS,Energia,827.98,323.2,39.03,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28168,85,2,159.99,85.81,63001,Webcam Logitech C270 HD 720p USB,31,Webcams,Periféricos,319.98,148.36,46.37,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28169,100,2,66.99,35.08,70008,Tinta Epson T544220 Ciano L3110/L3150/L5190,29,Tintas,Impressão,133.98,63.82,47.63,2021,4,2,Terça
9250,1234,5,57,2021-04-20 18:42:32,Cancelado,Loja Física,4146.13,164.37,Loja BH Centro,Física,Belo Horizonte,MG,28170,114,16,24.99,14.35,72001,Cabo HDMI 2.0 4K 1.8m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,399.84,170.24,42.58,2021,4,2,Terça
14977,2473,3,34,2021-04-21 18:42:32,Cancelado,Loja Física,506.8,0.0,Loja Santo André,Física,Santo André,SP,45496,61,1,49.99,33.51,54006,Pasta Térmica Corsair TM30 High Performance 3g,22,Refrigeração,Hardware,49.99,16.48,32.97,2021,4,2,Quarta
14977,2473,3,34,2021-04-21 18:42:32,Cancelado,Loja Física,506.8,0.0,Loja Santo André,Física,Santo André,SP,45497,37,1,459.99,306.43,51004,Memória DDR5 16GB Kingston Fury Beast 5200MHz KF552C40BB,14,Memória RAM,Hardware,459.99,153.56,33.38,2021,4,2,Quarta
14805,2986,5,56,2021-04-22 18:42:32,Cancelado,Loja Física,900.8,0.0,Loja BH Centro,Física,Belo Horizonte,MG,44966,75,5,27.99,17.47,61001,Teclado USB Satellite AK-910 ABNT2 Preto,27,Teclados,Periféricos,139.95,52.6,37.58,2021,4,2,Quinta
14805,2986,5,56,2021-04-22 18:42:32,Cancelado,Loja Física,900.8,0.0,Loja BH Centro,Física,Belo Horizonte,MG,44967,137,1,39.99,22.79,76002,Câmera de Segurança Balun Vídeo HD Passivo 5MP,8,Câmeras e Segurança,Câmeras e Segurança,39.99,17.2,43.01,2021,4,2,Quinta
14805,2986,5,56,2021-04-22 18:42:32,Cancelado,Loja Física,900.8,0.0,Loja BH Centro,Física,Belo Horizonte,MG,44968,146,1,738.99,421.51,79001,"TV LED 32"" Samsung UN32T4202 HD Smart Wi-Fi",25,TVs e Displays,TVs e Displays,738.99,317.48,42.96,2021,4,2,Quinta
22638,1754,2,27,2021-04-22 18:42:32,Cancelado,Loja Física,12236.19,0.0,Loja Paulista,Física,São Paulo,SP,68649,146,1,738.99,421.51,79001,"TV LED 32"" Samsung UN32T4202 HD Smart Wi-Fi",25,TVs e Displays,TVs e Displays,738.99,317.48,42.96,2021,4,2,Quinta
22638,1754,2,27,2021-04-22 18:42:32,Cancelado,Loja Física,12236.19,0.0,Loja Paulista,Física,São Paulo,SP,68650,26,1,10828.99,6869.06,46974,Placa de Vídeo 16GB RTX5080 MSI Inspire 3X OC,20,Placas de Vídeo,Hardware,10828.99,3959.93,36.57,2021,4,2,Quinta
22638,1754,2,27,2021-04-22 18:42:32,Cancelado,Loja Física,12236.19,0.0,Loja Paulista,Física,São Paulo,SP,68651,11,1,830.99,533.01,51006,Placa de Vídeo 8GB RX580 Keepdata DDR5 Dragonfly Gaming,20,Placas de Vídeo,Hardware,830.99,297.98,35.86,2021,4,2,Quinta
27176,2623,6,72,2021-04-22 18:42:32,Cancelado,Site,853.45,0.0,Escritório Central,Online,São Paulo,SP,82531,110,3,59.99,33.27,71008,Adaptador USB Wi-Fi TP-Link Archer T2U Mini AC600,1,Adaptadores Wi-Fi,Redes,179.97,80.16,44.54,2021,4,2,Quinta
27176,2623,6,72,2021-04-22 18:42:32,Cancelado,Site,853.45,0.0,Escritório Central,Online,São Paulo,SP,82532,39,1,419.99,225.25,51007,Memória SO-DIMM DDR4 16GB Crucial 3200MHz CT16G4SFRA32A,14,Memória RAM,Hardware,419.99,194.74,46.37,2021,4,2,Quinta
27176,2623,6,72,2021-04-22 18:42:32,Cancelado,Site,853.45,0.0,Escritório Central,Online,São Paulo,SP,82533,61,5,49.99,33.51,54006,Pasta Térmica Corsair TM30 High Performance 3g,22,Refrigeração,Hardware,249.95,82.4,32.97,2021,4,2,Quinta
45173,110,6,64,2021-04-22 18:42:32,Cancelado,Site,1049.9,0.0,Escritório Central,Online,São Paulo,SP,136981,96,1,189.99,107.66,70004,Toner HP CF217A LaserJet M102W Preto ~1600 pgs,30,Toners e Cartuchos,Impressão,189.99,82.33,43.33,2021,4,2,Quinta
45173,110,6,64,2021-04-22 18:42:32,Cancelado,Site,1049.9,0.0,Escritório Central,Online,São Paulo,SP,136982,58,1,849.99,567.86,54003,Water Cooler Corsair H100i Elite 240mm ARGB,22,Refrigeração,Hardware,849.99,282.13,33.19,2021,4,2,Quinta
11488,2470,3,35,2021-04-23 18:42:32,Cancelado,Loja Física,1926.67,0.0,Loja Santo André,Física,Santo André,SP,34970,127,3,241.99,157.64,74001,Nobreak 600VA FTX 360W Nema Universal 220V,17,Nobreaks e UPS,Energia,725.97,253.05,34.86,2021,4,2,Sexta
11488,2470,3,35,2021-04-23 18:42:32,Cancelado,Loja Física,1926.67,0.0,Loja Santo André,Física,Santo André,SP,34971,150,1,139.99,83.82,79005,"Suporte para Monitor FTX FTX46-C012E 17""-32"" 9kg",25,TVs e Displays,TVs e Displays,139.99,56.17,40.12,2021,4,2,Sexta
11488,2470,3,35,2021-04-23 18:42:32,Cancelado,Loja Física,1926.67,0.0,Loja Santo André,Física,Santo André,SP,34972,48,1,749.99,427.54,52009,HD 4TB Seagate IronWolf NAS 5900RPM ST4000VN008,3,Armazenamento,Hardware,749.99,322.45,42.99,2021,4,2,Sexta
11488,2470,3,35,2021-04-23 18:42:32,Cancelado,Loja Física,1926.67,0.0,Loja Santo André,Física,Santo André,SP,34973,134,1,299.99,168.22,75003,Gaveta de Dinheiro FTX LAS-335 Aço RJ11,5,Automação Comercial,Automação Comercial,299.99,131.77,43.92,2021,4,2,Sexta
20167,1620,1,10,2021-04-23 18:42:32,Cancelado,Marketplace,534.66,0.0,CD Osasco,Online,Osasco,SP,61072,153,1,252.99,132.87,80003,Ventilador FTX Brisa 3 Vel FS-40MF de Pé 60W 220V,9,Eletrodomésticos,Eletrodomésticos,252.99,120.12,47.48,2021,4,2,Sexta
20167,1620,1,10,2021-04-23 18:42:32,Cancelado,Marketplace,534.66,0.0,CD Osasco,Online,Osasco,SP,61073,46,1,289.99,174.89,52007,HD 1TB Seagate Barracuda 7200RPM SATA III ST1000DM010,3,Armazenamento,Hardware,289.99,115.1,39.69,2021,4,2,Sexta
37277,3120,1,10,2021-04-23 18:42:32,Cancelado,WhatsApp,960.14,0.0,CD Osasco,Online,Osasco,SP,113072,52,1,749.99,467.58,53004,Fonte de Alimentação 750W Corsair RM750x 80 Plus Gold,10,Fontes de Alimentação,Hardware,749.99,282.41,37.66,2021,4,2,Sexta
37277,3120,1,10,2021-04-23 18:42:32,Cancelado,WhatsApp,960.14,0.0,CD Osasco,Online,Osasco,SP,113073,115,5,39.99,25.49,72002,Cabo HDMI 2.0 4K 3m Goldplated,7,Cabos e Adaptadores,Cabos e Adaptadores,199.95,72.5,36.26,2021,4,2,Sexta
40256,1968,2,30,2021-04-23 18:42:32,Cancelado,Loja Física,3231.6,81.97,Loja Paulista,Física,São Paulo,SP,122229,19,1,1734.99,1134.41,82794,Placa de Vídeo 8GB RTX5050 MSI Shadow 2X OC,20,Placas de Vídeo,Hardware,1734.99,600.58,34.62,2021,4,2,Sexta
40256,1968,2,30,2021-04-23 18:42:32,Cancelado,Loja Física,3231.6,81.97,Loja Paulista,Física,São Paulo,SP,122230,62,4,399.99,271.88,55001,Gabinete Gamer DeepCool CC560 Mid-Tower ATX Vidro Temperado,11,Gabinetes,Hardware,1599.96,512.44,32.03,2021,4,2,Sexta
40256,1968,2,30,2021-04-23 18:42:32,Cancelado,Loja Física,3231.6,81.97,Loja Paulista,Física,São Paulo,SP,122231,123,4,89.99,59.59,73003,Pen Drive 128GB Kingston DataTraveler USB 3.2,4,Armazenamento Portátil,Armazenamento Portátil,359.96,121.6,33.78,2021,4,2,Sexta
5234,1141,2,26,2021-04-24 18:42:32,Cancelado,Loja Física,3397.12,100.69,Loja Paulista,Física,São Paulo,SP,15951,2,6,196.99,130.53,256659,Placa de Vídeo 2GB GT610 Keepdata DDR3 64Bits HDMI/DVI/VGA,20,Placas de Vídeo,Hardware,1181.94,398.76,33.74,2021,4,2,Sábado
5234,1141,2,26,2021-04-24 18:42:32,Cancelado,Loja Física,3397.12,100.69,Loja Paulista,Física,São Paulo,SP,15952,77,3,189.99,107.0,61003,Teclado Gamer USB Redragon S136 Inglês Preto,27,Teclados,Periféricos,569.97,248.97,43.68,2021,4,2,Sábado
5234,1141,2,26,2021-04-24 18:42:32,Cancelado,Loja Física,3397.12,100.69,Loja Paulista,Física,São Paulo,SP,15953,45,2,489.99,330.94,52006,SSD 1TB WD Blue SN580 M.2 NVMe PCIe WDS100T3B0E,3,Armazenamento,Hardware,979.98,318.1,32.46,2021,4,2,Sábado
5234,1141,2,26,2021-04-24 18:42:32,Cancelado,Loja Física,3397.12,100.69,Loja Paulista,Física,São Paulo,SP,15954,121,26,27.99,15.71,73001,Pen Drive 32GB Sandisk Cruzer Blade USB 2.0,4,Armazenamento Portátil,Armazenamento Portátil,727.74,319.28,43.87,2021,4,2,Sábado
5234,1141,2,26,2021-04-24 18:42:32,Cancelado,Loja Física,3397.12,100.69,Loja Paulista,Física,São Paulo,SP,15955,7,1,378.99,244.38,258771,Placa de Vídeo 4GB GTX750 Star DDR5 128Bits,20,Placas de Vídeo,Hardware,378.99,134.61,35.52,2021,4,2,Sábado
